Date,Revenue,Expenses,Department,Region,Product Line,Expense Category,Client ID
2025-01-04,3637.22,0.0,Operations,West,Software Licenses,Utilities,CL-042
2025-01-04,6428.39,0.0,Engineering,North,Hardware Systems,Hardware Servers,CL-085
2025-01-04,1391.17,0.0,Marketing,North,Cloud Subscriptions,Events,CL-068
2025-01-04,0.0,3423.98,HR,West,Hardware Systems,Software Subscriptions,
2025-01-04,9666.53,0.0,Engineering,North,Software Licenses,Software Subscriptions,CL-071
2025-01-05,2343.71,729.19,Marketing,West,Hardware Systems,Events,CL-017
2025-01-05,6198.78,0.0,HR,North,Consulting Services,Salaries,CL-023
2025-01-05,8079.05,0.0,Engineering,West,Hardware Systems,Salaries,CL-071
2025-01-05,1972.09,2911.73,Marketing,East,Consulting Services,Marketing Ads,CL-019
2025-01-05,6831.77,0.0,Marketing,South,Cloud Subscriptions,Marketing Ads,CL-074
2025-01-05,7995.25,1338.07,Sales,North,Software Licenses,Software Subscriptions,CL-099
2025-01-05,0.0,1727.55,Sales,West,Hardware Systems,Salaries,
2025-01-06,0.0,1455.49,Sales,East,Cloud Subscriptions,Software Subscriptions,
2025-01-06,0.0,2307.71,Sales,South,Hardware Systems,Commissions,
2025-01-06,6638.58,0.0,Marketing,West,Cloud Subscriptions,Marketing Ads,CL-028
2025-01-06,3440.65,0.0,HR,East,Software Licenses,Software Subscriptions,CL-071
2025-01-06,0.0,2307.16,Operations,East,Cloud Subscriptions,Salaries,
2025-01-06,3330.65,862.75,Marketing,North,Hardware Systems,Salaries,CL-017
2025-01-06,12869.56,1090.57,Sales,South,Software Licenses,Commissions,CL-099
2025-01-07,0.0,1753.04,Operations,East,Cloud Subscriptions,Rent,
2025-01-07,6577.11,0.0,Marketing,East,Hardware Systems,Software Subscriptions,CL-028
2025-01-07,1604.69,0.0,Marketing,North,Cloud Subscriptions,Software Subscriptions,CL-028
2025-01-07,8698.26,1561.08,Engineering,South,Cloud Subscriptions,Software Subscriptions,CL-071
2025-01-07,7011.43,1854.67,Engineering,East,Cloud Subscriptions,Hardware Servers,CL-075
2025-01-07,0.0,1113.76,Operations,North,Consulting Services,Office Supplies,
2025-01-07,4465.49,0.0,Operations,South,Hardware Systems,Office Supplies,CL-030
2025-01-07,3764.32,0.0,Sales,East,Software Licenses,Salaries,CL-019
2025-01-08,3494.83,2275.62,Engineering,West,Consulting Services,Hardware Servers,CL-019
2025-01-08,4795.45,0.0,Operations,East,Cloud Subscriptions,Rent,CL-074
2025-01-08,6257.99,1427.18,Engineering,West,Cloud Subscriptions,Training,CL-017
2025-01-08,9473.09,667.37,Engineering,East,Software Licenses,Training,CL-068
2025-01-08,0.0,653.05,Sales,East,Hardware Systems,Salaries,
2025-01-08,3315.31,0.0,Sales,South,Consulting Services,Salaries,CL-017
2025-01-08,6796.08,0.0,Engineering,East,Software Licenses,Training,CL-086
2025-01-08,2936.84,0.0,Operations,East,Consulting Services,Office Supplies,CL-042
2025-01-08,7699.33,665.13,HR,South,Hardware Systems,Salaries,CL-035
2025-01-08,4972.56,0.0,Engineering,West,Consulting Services,Software Subscriptions,CL-019
2025-01-09,0.0,3565.11,Marketing,North,Hardware Systems,Events,
2025-01-09,0.0,349.75,HR,South,Software Licenses,Recruitment,
2025-01-09,4229.09,0.0,Sales,East,Hardware Systems,Commissions,CL-075
2025-01-09,0.0,493.13,Marketing,South,Hardware Systems,Events,
2025-01-09,0.0,2132.19,Operations,East,Hardware Systems,Salaries,
2025-01-09,0.0,1834.41,Sales,East,Cloud Subscriptions,Travel,
2025-01-09,0.0,2746.48,Engineering,West,Hardware Systems,Hardware Servers,
2025-01-10,0.0,3461.0,HR,North,Hardware Systems,Software Subscriptions,
2025-01-10,3034.16,0.0,Marketing,West,Consulting Services,Marketing Ads,CL-084
2025-01-10,0.0,2813.91,Marketing,South,Hardware Systems,Marketing Ads,
2025-01-10,0.0,1810.16,HR,North,Consulting Services,Software Subscriptions,
2025-01-10,0.0,2502.31,Marketing,West,Cloud Subscriptions,Events,
2025-01-10,1748.86,0.0,Operations,East,Consulting Services,Salaries,CL-028
2025-01-11,0.0,2353.99,HR,East,Consulting Services,Recruitment,
2025-01-11,6615.83,2250.48,Engineering,East,Hardware Systems,Hardware Servers,CL-019
2025-01-11,5881.6,3392.17,Operations,East,Hardware Systems,Utilities,CL-086
2025-01-11,0.0,4883.18,Sales,West,Hardware Systems,Travel,
2025-01-11,0.0,2219.1,Engineering,East,Consulting Services,Training,
2025-01-11,0.0,4646.09,Operations,West,Hardware Systems,Rent,
2025-01-11,0.0,3531.86,Marketing,West,Consulting Services,Events,
2025-01-11,2177.82,0.0,Operations,East,Hardware Systems,Utilities,CL-068
2025-01-11,6986.38,0.0,Operations,East,Consulting Services,Office Supplies,CL-031
2025-01-11,0.0,3689.63,HR,East,Hardware Systems,Benefits,
2025-01-12,10408.44,1657.94,HR,South,Cloud Subscriptions,Software Subscriptions,CL-071
2025-01-12,4759.26,0.0,Sales,North,Consulting Services,Commissions,CL-023
2025-01-12,6578.18,0.0,HR,North,Cloud Subscriptions,Software Subscriptions,CL-011
2025-01-12,7608.41,0.0,Marketing,North,Hardware Systems,Events,CL-074
2025-01-12,0.0,382.68,Sales,South,Software Licenses,Software Subscriptions,
2025-01-12,1360.01,2174.63,Marketing,West,Cloud Subscriptions,Software Subscriptions,CL-077
2025-01-12,6330.46,0.0,HR,North,Consulting Services,Recruitment,CL-089
2025-01-12,0.0,1197.98,Marketing,South,Consulting Services,Marketing Ads,
2025-01-12,2559.05,0.0,Operations,South,Cloud Subscriptions,Utilities,CL-018
2025-01-13,8916.05,0.0,Sales,West,Cloud Subscriptions,Travel,CL-099
2025-01-13,2641.42,0.0,Operations,South,Software Licenses,Office Supplies,CL-084
2025-01-13,1736.06,0.0,Sales,East,Cloud Subscriptions,Salaries,CL-077
2025-01-13,3694.39,1006.86,Sales,South,Software Licenses,Software Subscriptions,CL-011
2025-01-13,0.0,181.12,Operations,South,Software Licenses,Rent,
2025-01-13,0.0,3016.55,HR,East,Hardware Systems,Recruitment,
2025-01-13,0.0,1034.97,Operations,East,Software Licenses,Utilities,
2025-01-13,0.0,180.31,Marketing,South,Software Licenses,Events,
2025-01-13,4154.29,4175.14,Operations,East,Hardware Systems,Utilities,CL-030
2025-01-13,0.0,4160.95,HR,North,Hardware Systems,Benefits,
2025-01-14,9342.91,0.0,HR,North,Cloud Subscriptions,Software Subscriptions,CL-031
2025-01-14,4131.09,0.0,Sales,East,Hardware Systems,Commissions,CL-035
2025-01-14,4063.42,3206.02,Operations,North,Consulting Services,Rent,CL-042
2025-01-14,0.0,4484.9,Engineering,North,Hardware Systems,Training,
2025-01-14,0.0,1095.37,Sales,West,Software Licenses,Travel,
2025-01-14,11551.72,673.38,Operations,West,Software Licenses,Salaries,CL-030
2025-01-14,0.0,522.49,Sales,North,Software Licenses,Software Subscriptions,
2025-01-15,2563.85,0.0,Operations,East,Software Licenses,Office Supplies,CL-071
2025-01-15,7276.2,0.0,HR,North,Hardware Systems,Recruitment,CL-017
2025-01-15,7014.88,0.0,Engineering,North,Hardware Systems,Salaries,CL-075
2025-01-15,1405.63,0.0,Sales,South,Consulting Services,Salaries,CL-077
2025-01-15,0.0,695.12,Operations,North,Software Licenses,Utilities,
2025-01-15,3638.07,0.0,Operations,West,Cloud Subscriptions,Salaries,CL-075
2025-01-16,4652.89,0.0,Marketing,South,Cloud Subscriptions,Software Subscriptions,CL-028
2025-01-16,0.0,1300.35,HR,South,Consulting Services,Recruitment,
2025-01-16,3720.75,0.0,Marketing,West,Consulting Services,Marketing Ads,CL-030
2025-01-16,0.0,1095.77,Engineering,East,Cloud Subscriptions,Hardware Servers,
2025-01-16,1548.06,2364.1,Marketing,South,Cloud Subscriptions,Events,CL-001
2025-01-16,0.0,551.11,Marketing,West,Consulting Services,Software Subscriptions,
2025-01-16,0.0,1124.18,Marketing,South,Hardware Systems,Software Subscriptions,
2025-01-16,4025.17,0.0,Engineering,East,Cloud Subscriptions,Hardware Servers,CL-019
2025-01-17,0.0,1802.54,Sales,North,Consulting Services,Software Subscriptions,
2025-01-17,0.0,890.63,HR,South,Software Licenses,Benefits,
2025-01-17,9188.36,0.0,Operations,South,Consulting Services,Salaries,CL-077
2025-01-17,3612.37,0.0,Operations,West,Hardware Systems,Office Supplies,CL-018
2025-01-17,1185.55,0.0,Marketing,East,Cloud Subscriptions,Software Subscriptions,CL-071
2025-01-17,0.0,3334.31,Operations,North,Consulting Services,Utilities,
2025-01-18,6541.35,467.24,Operations,East,Consulting Services,Rent,CL-011
2025-01-18,5317.61,0.0,Sales,North,Software Licenses,Salaries,CL-011
2025-01-18,3624.68,0.0,HR,South,Hardware Systems,Recruitment,CL-035
2025-01-18,0.0,1449.17,Engineering,West,Cloud Subscriptions,Salaries,
2025-01-18,0.0,563.91,Operations,West,Consulting Services,Utilities,
2025-01-19,2676.62,0.0,Operations,South,Consulting Services,Rent,CL-001
2025-01-19,0.0,1480.94,Engineering,South,Cloud Subscriptions,Salaries,
2025-01-19,0.0,3267.4,Engineering,East,Hardware Systems,Training,
2025-01-19,0.0,1400.99,Marketing,North,Software Licenses,Software Subscriptions,
2025-01-19,0.0,1803.01,HR,North,Cloud Subscriptions,Recruitment,
2025-01-19,0.0,1929.14,Engineering,West,Hardware Systems,Hardware Servers,
2025-01-19,7295.39,0.0,Engineering,East,Software Licenses,Salaries,CL-017
2025-01-19,6603.3,0.0,Engineering,East,Cloud Subscriptions,Hardware Servers,CL-042
2025-01-19,0.0,478.39,Sales,West,Cloud Subscriptions,Travel,
2025-01-19,9324.54,0.0,HR,West,Software Licenses,Recruitment,CL-099
2025-01-20,8914.24,4352.16,HR,North,Hardware Systems,Recruitment,CL-018
2025-01-20,3730.04,0.0,Marketing,East,Consulting Services,Events,CL-089
2025-01-20,7571.9,0.0,Sales,East,Software Licenses,Software Subscriptions,CL-023
2025-01-20,3538.57,2983.77,Operations,West,Cloud Subscriptions,Office Supplies,CL-089
2025-01-20,7500.49,2652.32,Sales,North,Consulting Services,Travel,CL-031
2025-01-21,0.0,601.39,HR,East,Software Licenses,Benefits,
2025-01-21,6931.54,0.0,HR,North,Hardware Systems,Software Subscriptions,CL-019
2025-01-21,8275.53,499.48,Engineering,North,Software Licenses,Training,CL-031
2025-01-21,0.0,1976.79,Operations,South,Consulting Services,Rent,
2025-01-21,6723.07,469.67,Marketing,South,Software Licenses,Software Subscriptions,CL-071
2025-01-21,4962.26,2684.85,HR,North,Cloud Subscriptions,Recruitment,CL-068
2025-01-21,1351.76,0.0,Engineering,North,Cloud Subscriptions,Salaries,CL-035
2025-01-22,10084.03,2069.08,Operations,South,Hardware Systems,Salaries,CL-031
2025-01-22,0.0,538.56,Operations,East,Hardware Systems,Salaries,
2025-01-22,6460.64,0.0,Engineering,West,Software Licenses,Hardware Servers,CL-074
2025-01-22,3619.52,1302.95,Sales,West,Software Licenses,Salaries,CL-074
2025-01-22,0.0,1212.58,Operations,East,Cloud Subscriptions,Rent,
2025-01-22,9160.92,1371.85,HR,South,Hardware Systems,Recruitment,CL-089
2025-01-22,3163.46,0.0,Operations,East,Hardware Systems,Salaries,CL-099
2025-01-22,0.0,981.7,Sales,West,Cloud Subscriptions,Commissions,
2025-01-22,0.0,1920.79,Engineering,West,Hardware Systems,Software Subscriptions,
2025-01-23,0.0,2206.8,Engineering,East,Consulting Services,Salaries,
2025-01-23,0.0,1038.26,Marketing,South,Software Licenses,Marketing Ads,
2025-01-23,2713.57,0.0,Operations,West,Software Licenses,Office Supplies,CL-068
2025-01-23,3830.83,3281.95,Engineering,East,Consulting Services,Hardware Servers,CL-085
2025-01-23,9901.9,0.0,Sales,East,Software Licenses,Salaries,CL-001
2025-01-23,8294.79,0.0,Operations,North,Cloud Subscriptions,Salaries,CL-084
2025-01-24,7616.61,1097.35,Marketing,West,Consulting Services,Events,CL-035
2025-01-24,0.0,1791.86,Sales,South,Cloud Subscriptions,Commissions,
2025-01-24,5238.74,0.0,Marketing,East,Consulting Services,Salaries,CL-084
2025-01-24,0.0,390.53,Engineering,East,Software Licenses,Hardware Servers,
2025-01-24,5978.0,1404.16,Sales,South,Hardware Systems,Travel,CL-075
2025-01-24,8379.16,0.0,Engineering,West,Hardware Systems,Software Subscriptions,CL-031
2025-01-24,0.0,2612.22,Operations,West,Cloud Subscriptions,Office Supplies,
2025-01-24,3355.93,0.0,Engineering,West,Hardware Systems,Software Subscriptions,CL-074
2025-01-24,3663.61,0.0,Marketing,North,Software Licenses,Software Subscriptions,CL-028
2025-01-25,5770.18,0.0,Engineering,East,Cloud Subscriptions,Hardware Servers,CL-089
2025-01-25,10243.7,0.0,Operations,South,Hardware Systems,Office Supplies,CL-084
2025-01-25,8777.42,1074.04,Sales,West,Hardware Systems,Salaries,CL-085
2025-01-25,5415.73,1604.84,Engineering,North,Cloud Subscriptions,Hardware Servers,CL-084
2025-01-25,12874.11,0.0,Sales,South,Software Licenses,Salaries,CL-084
2025-01-26,0.0,871.76,HR,South,Software Licenses,Software Subscriptions,
2025-01-26,8453.8,0.0,Engineering,West,Cloud Subscriptions,Software Subscriptions,CL-075
2025-01-26,9895.1,1548.36,Operations,West,Cloud Subscriptions,Rent,CL-023
2025-01-26,0.0,903.4,Operations,North,Software Licenses,Utilities,
2025-01-26,3100.02,1263.05,Marketing,East,Consulting Services,Marketing Ads,CL-009
2025-01-26,0.0,3429.98,Sales,West,Consulting Services,Salaries,
2025-01-26,4535.57,0.0,Operations,East,Cloud Subscriptions,Salaries,CL-077
2025-01-27,7155.65,0.0,Operations,West,Software Licenses,Rent,CL-030
2025-01-27,8369.88,0.0,HR,West,Consulting Services,Recruitment,CL-084
2025-01-27,0.0,1014.7,Engineering,East,Cloud Subscriptions,Hardware Servers,
2025-01-27,3457.76,0.0,Operations,North,Hardware Systems,Rent,CL-017
2025-01-27,2276.94,0.0,Sales,South,Software Licenses,Salaries,CL-042
2025-01-27,0.0,2364.95,HR,East,Cloud Subscriptions,Salaries,
2025-01-27,6296.2,396.78,HR,East,Consulting Services,Benefits,CL-084
2025-01-27,0.0,1981.07,Engineering,East,Hardware Systems,Software Subscriptions,
2025-01-27,7719.95,3112.92,Sales,South,Hardware Systems,Software Subscriptions,CL-023
2025-01-27,9737.43,397.96,Sales,West,Cloud Subscriptions,Salaries,CL-085
2025-01-28,0.0,1056.94,Sales,South,Software Licenses,Travel,
2025-01-28,6979.97,1280.07,Sales,West,Hardware Systems,Salaries,CL-031
2025-01-28,0.0,4243.54,Marketing,North,Hardware Systems,Marketing Ads,
2025-01-28,0.0,1868.06,Engineering,North,Cloud Subscriptions,Software Subscriptions,
2025-01-28,0.0,2209.48,Operations,East,Cloud Subscriptions,Utilities,
2025-01-28,5717.17,0.0,Engineering,East,Cloud Subscriptions,Training,CL-018
2025-01-28,3994.34,0.0,Marketing,South,Consulting Services,Marketing Ads,CL-031
2025-01-28,0.0,1499.99,Marketing,East,Cloud Subscriptions,Marketing Ads,
2025-01-28,8123.47,0.0,Operations,South,Consulting Services,Salaries,CL-011
2025-01-28,5617.2,0.0,Engineering,North,Hardware Systems,Salaries,CL-009
2025-01-29,4354.28,4741.01,Operations,North,Hardware Systems,Salaries,CL-001
2025-01-29,0.0,914.12,Engineering,East,Cloud Subscriptions,Salaries,
2025-01-29,0.0,652.96,Operations,North,Cloud Subscriptions,Salaries,
2025-01-29,0.0,458.73,Engineering,South,Software Licenses,Software Subscriptions,
2025-01-29,1276.5,0.0,Marketing,East,Hardware Systems,Events,CL-085
2025-01-29,1804.43,0.0,Operations,South,Software Licenses,Salaries,CL-089
2025-01-29,0.0,1160.0,Engineering,South,Software Licenses,Software Subscriptions,
2025-01-29,2146.42,0.0,Operations,West,Hardware Systems,Office Supplies,CL-017
2025-01-29,5749.89,463.87,Operations,East,Software Licenses,Salaries,CL-075
2025-01-29,6186.12,0.0,Sales,East,Software Licenses,Travel,CL-031
2025-01-30,10050.91,0.0,Operations,South,Cloud Subscriptions,Rent,CL-085
2025-01-30,8862.19,0.0,Marketing,West,Software Licenses,Marketing Ads,CL-017
2025-01-30,2331.8,0.0,Sales,East,Hardware Systems,Software Subscriptions,CL-089
2025-01-30,2917.18,0.0,HR,North,Hardware Systems,Recruitment,CL-031
2025-01-30,3532.51,467.1,Engineering,West,Consulting Services,Salaries,CL-019
2025-01-30,0.0,1463.79,Sales,West,Software Licenses,Commissions,
2025-01-31,4728.02,0.0,Operations,West,Hardware Systems,Rent,CL-009
2025-01-31,0.0,586.99,Marketing,West,Consulting Services,Events,
2025-01-31,2941.73,1642.54,Engineering,West,Hardware Systems,Salaries,CL-077
2025-01-31,7544.99,0.0,Marketing,West,Cloud Subscriptions,Marketing Ads,CL-009
2025-01-31,0.0,3224.06,Operations,North,Hardware Systems,Office Supplies,
2025-01-31,4243.89,1725.81,HR,East,Hardware Systems,Salaries,CL-042
2025-01-31,0.0,978.26,Marketing,East,Cloud Subscriptions,Marketing Ads,
2025-01-31,5955.99,0.0,Operations,South,Cloud Subscriptions,Utilities,CL-017
2025-01-31,0.0,507.4,Marketing,South,Hardware Systems,Salaries,
2025-02-01,0.0,2496.66,Engineering,West,Cloud Subscriptions,Salaries,
2025-02-01,2177.78,0.0,HR,South,Cloud Subscriptions,Benefits,CL-017
2025-02-01,0.0,2847.77,Operations,North,Consulting Services,Salaries,
2025-02-01,3835.45,0.0,Operations,West,Consulting Services,Office Supplies,CL-049
2025-02-01,10349.93,0.0,Operations,South,Cloud Subscriptions,Office Supplies,CL-031
2025-02-01,8129.97,0.0,Sales,West,Consulting Services,Commissions,CL-019
2025-02-01,5003.11,0.0,Marketing,East,Hardware Systems,Events,CL-099
2025-02-01,0.0,2190.73,Sales,South,Cloud Subscriptions,Commissions,
2025-02-01,0.0,166.34,HR,North,Software Licenses,Benefits,
2025-02-02,3761.08,1471.91,Marketing,North,Software Licenses,Salaries,CL-018
2025-02-02,9066.08,310.69,Sales,South,Consulting Services,Travel,CL-014
2025-02-02,4903.46,1315.33,Engineering,West,Cloud Subscriptions,Salaries,CL-086
2025-02-02,10723.96,321.48,Engineering,West,Software Licenses,Salaries,CL-075
2025-02-02,0.0,1911.35,Operations,North,Consulting Services,Rent,
2025-02-02,0.0,2014.07,Operations,South,Hardware Systems,Rent,
2025-02-02,3558.12,469.47,Operations,North,Software Licenses,Salaries,CL-038
2025-02-02,1704.02,0.0,Sales,South,Hardware Systems,Software Subscriptions,CL-042
2025-02-03,2375.62,0.0,Engineering,East,Cloud Subscriptions,Training,CL-086
2025-02-03,0.0,1457.4,Marketing,West,Cloud Subscriptions,Salaries,
2025-02-03,3181.76,0.0,Engineering,West,Cloud Subscriptions,Salaries,CL-084
2025-02-03,6254.51,0.0,Operations,North,Hardware Systems,Rent,CL-052
2025-02-03,0.0,3038.14,Sales,East,Consulting Services,Commissions,
2025-02-03,8631.21,2167.72,Sales,North,Hardware Systems,Commissions,CL-083
2025-02-03,5104.75,3196.95,Sales,East,Hardware Systems,Salaries,CL-009
2025-02-04,0.0,2763.12,Marketing,West,Consulting Services,Marketing Ads,
2025-02-04,0.0,667.79,HR,South,Software Licenses,Salaries,
2025-02-04,0.0,346.43,Sales,South,Software Licenses,Travel,
2025-02-04,5290.16,0.0,HR,North,Hardware Systems,Recruitment,CL-018
2025-02-04,0.0,657.33,Sales,East,Software Licenses,Travel,
2025-02-04,0.0,2139.8,Operations,North,Consulting Services,Utilities,
2025-02-04,0.0,866.03,Operations,East,Consulting Services,Office Supplies,
2025-02-04,5798.51,0.0,Engineering,North,Hardware Systems,Training,CL-019
2025-02-04,0.0,1168.24,Marketing,West,Software Licenses,Software Subscriptions,
2025-02-04,0.0,2231.33,Engineering,South,Cloud Subscriptions,Software Subscriptions,
2025-02-05,0.0,2176.92,Operations,North,Cloud Subscriptions,Office Supplies,
2025-02-05,0.0,1957.02,Operations,South,Hardware Systems,Rent,
2025-02-05,0.0,297.33,Marketing,South,Software Licenses,Software Subscriptions,
2025-02-05,0.0,840.93,Marketing,West,Software Licenses,Events,
2025-02-05,6085.08,0.0,Engineering,North,Cloud Subscriptions,Training,CL-030
2025-02-05,6258.13,0.0,Operations,North,Hardware Systems,Salaries,CL-023
2025-02-05,8657.27,0.0,Operations,East,Software Licenses,Utilities,CL-020
2025-02-05,3501.54,0.0,Marketing,North,Consulting Services,Marketing Ads,CL-020
2025-02-05,3160.84,0.0,HR,East,Hardware Systems,Salaries,CL-015
2025-02-05,0.0,1233.83,Marketing,East,Consulting Services,Marketing Ads,
2025-02-06,8680.11,0.0,HR,North,Software Licenses,Recruitment,CL-077
2025-02-06,10878.77,0.0,Sales,South,Cloud Subscriptions,Salaries,CL-068
2025-02-06,0.0,2031.36,Operations,South,Cloud Subscriptions,Office Supplies,
2025-02-06,0.0,1862.85,HR,South,Consulting Services,Recruitment,
2025-02-06,0.0,823.04,Engineering,South,Software Licenses,Salaries,
2025-02-06,0.0,1556.31,HR,East,Cloud Subscriptions,Recruitment,
2025-02-07,2066.06,1965.08,Marketing,North,Cloud Subscriptions,Marketing Ads,CL-011
2025-02-07,3541.75,0.0,Marketing,South,Software Licenses,Events,CL-009
2025-02-07,0.0,1164.31,Operations,West,Software Licenses,Salaries,
2025-02-07,5031.84,0.0,HR,South,Consulting Services,Salaries,CL-084
2025-02-07,1800.59,0.0,Engineering,East,Cloud Subscriptions,Training,CL-077
2025-02-07,0.0,1798.28,Operations,South,Hardware Systems,Salaries,
2025-02-07,0.0,975.44,Engineering,East,Software Licenses,Salaries,
2025-02-08,0.0,2475.17,Engineering,North,Consulting Services,Software Subscriptions,
2025-02-08,0.0,1232.65,Operations,West,Cloud Subscriptions,Utilities,
2025-02-08,0.0,709.7,Operations,West,Software Licenses,Salaries,
2025-02-08,0.0,1215.19,HR,West,Software Licenses,Recruitment,
2025-02-08,2904.21,0.0,Engineering,West,Software Licenses,Software Subscriptions,CL-020
2025-02-08,0.0,1168.22,HR,East,Hardware Systems,Recruitment,
2025-02-08,0.0,724.17,Marketing,South,Consulting Services,Events,
2025-02-08,6408.28,0.0,Engineering,North,Hardware Systems,Training,CL-038
2025-02-08,9117.08,0.0,HR,West,Cloud Subscriptions,Software Subscriptions,CL-032
2025-02-09,3041.43,1910.19,Marketing,East,Cloud Subscriptions,Marketing Ads,CL-030
2025-02-09,2612.25,775.73,HR,North,Hardware Systems,Software Subscriptions,CL-017
2025-02-09,6012.13,411.77,HR,East,Consulting Services,Recruitment,CL-030
2025-02-09,7509.47,0.0,Marketing,North,Consulting Services,Marketing Ads,CL-015
2025-02-09,2686.51,0.0,Operations,South,Hardware Systems,Office Supplies,CL-035
2025-02-09,11051.77,0.0,HR,North,Software Licenses,Benefits,CL-001
2025-02-09,0.0,1536.0,Operations,South,Cloud Subscriptions,Rent,
2025-02-09,7926.35,0.0,HR,East,Cloud Subscriptions,Software Subscriptions,CL-042
2025-02-09,3198.42,1181.83,Engineering,South,Cloud Subscriptions,Hardware Servers,CL-074
2025-02-09,6021.57,0.0,Engineering,North,Consulting Services,Salaries,CL-009
2025-02-10,6115.39,0.0,Operations,West,Hardware Systems,Utilities,CL-023
2025-02-10,3813.95,0.0,Operations,East,Cloud Subscriptions,Office Supplies,CL-015
2025-02-10,0.0,744.09,Operations,North,Software Licenses,Salaries,
2025-02-10,2075.83,2380.46,Marketing,South,Cloud Subscriptions,Software Subscriptions,CL-083
2025-02-10,2829.64,0.0,Operations,North,Hardware Systems,Rent,CL-075
2025-02-10,0.0,1290.97,Operations,West,Software Licenses,Office Supplies,
2025-02-10,2402.93,172.75,Marketing,West,Software Licenses,Marketing Ads,CL-099
2025-02-10,12375.32,0.0,Marketing,West,Software Licenses,Marketing Ads,CL-015
2025-02-10,5264.24,0.0,Engineering,West,Consulting Services,Salaries,CL-031
2025-02-11,7924.51,768.56,Sales,East,Software Licenses,Salaries,CL-015
2025-02-11,4229.1,0.0,HR,North,Cloud Subscriptions,Salaries,CL-068
2025-02-11,0.0,2695.55,Marketing,North,Cloud Subscriptions,Events,
2025-02-11,2817.97,0.0,Engineering,North,Hardware Systems,Software Subscriptions,CL-001
2025-02-11,0.0,985.57,HR,North,Cloud Subscriptions,Benefits,
2025-02-12,5890.2,330.19,Marketing,East,Software Licenses,Marketing Ads,CL-014
2025-02-12,0.0,3324.95,HR,North,Consulting Services,Recruitment,
2025-02-12,0.0,281.04,Marketing,East,Software Licenses,Software Subscriptions,
2025-02-12,0.0,820.3,Engineering,North,Cloud Subscriptions,Hardware Servers,
2025-02-12,5303.74,605.02,Operations,South,Consulting Services,Office Supplies,CL-019
2025-02-12,4058.68,4332.02,Marketing,West,Hardware Systems,Events,CL-020
2025-02-13,6229.11,880.1,HR,South,Software Licenses,Benefits,CL-031
2025-02-13,0.0,571.84,Marketing,East,Software Licenses,Marketing Ads,
2025-02-13,3619.58,2341.47,Marketing,South,Hardware Systems,Software Subscriptions,CL-052
2025-02-13,0.0,3445.61,Engineering,South,Hardware Systems,Software Subscriptions,
2025-02-13,6473.59,0.0,Operations,East,Cloud Subscriptions,Rent,CL-019
2025-02-14,7357.74,0.0,Marketing,West,Software Licenses,Events,CL-031
2025-02-14,1740.8,0.0,Marketing,West,Consulting Services,Events,CL-099
2025-02-14,4690.41,0.0,Sales,North,Software Licenses,Software Subscriptions,CL-049
2025-02-14,0.0,546.54,Marketing,West,Software Licenses,Marketing Ads,
2025-02-14,2898.99,1326.43,Sales,South,Consulting Services,Salaries,CL-023
